"","CODE_REGIS","Presi","VOTOS"
"531",5072,"Petro",1382
"532",5073,"Fajardo",45
"533",5073,"Fico",369
"534",5073,"Petro",943
"535",5076,"Fajardo",977
"536",5076,"Fico",2442
"537",5076,"Petro",3166
"538",5078,"Fajardo",183
"539",5078,"Fico",425
"540",5078,"Petro",778
"541",5079,"Fajardo",725
"542",5079,"Fico",3717
"543",5079,"Petro",3480
"544",5082,"Fajardo",217
"545",5082,"Fico",411
"546",5082,"Petro",1739
"547",5084,"Fajardo",235
"548",5084,"Fico",415
"549",5084,"Petro",2193
"550",5091,"Fajardo",150
"551",5091,"Fico",981
"552",5091,"Petro",2129
"553",5094,"Fajardo",346
"554",5094,"Fico",683
"555",5094,"Petro",2824
"556",5095,"Fajardo",432
"557",5095,"Fico",754
"558",5095,"Petro",1171
"559",5097,"Fajardo",239
"560",5097,"Fico",424
"561",5097,"Petro",1235
"562",5106,"Fajardo",87
"563",5106,"Fico",921
"564",5106,"Petro",2321
"565",5110,"Fajardo",150
"566",5110,"Fico",1107
"567",5110,"Petro",1398
"568",5113,"Fajardo",101
"569",5113,"Fico",354
"570",5113,"Petro",1166
"571",5118,"Fajardo",2090
"572",5118,"Fico",6340
"573",5118,"Petro",11172
"574",5121,"Fajardo",526
"575",5121,"Fico",1087
"576",5121,"Petro",3088
"577",5124,"Fajardo",265
"578",5124,"Fico",833
"579",5124,"Petro",1490
"580",5127,"Fajardo",49
"581",5127,"Fico",725
"582",5127,"Petro",2147
"583",7001,"Fajardo",25571
"584",7001,"Fico",8636
"585",7001,"Petro",28454
"586",7007,"Fajardo",543
"587",7007,"Fico",49
"588",7007,"Petro",67
"589",7008,"Fajardo",2588
"590",7008,"Fico",277
"591",7008,"Petro",672
"592",7010,"Fajardo",1092
"593",7010,"Fico",148
"594",7010,"Petro",443
"595",7013,"Fajardo",1993
"596",7013,"Fico",250
"597",7013,"Petro",492
"598",7016,"Fajardo",397
"599",7016,"Fico",42
"600",7016,"Petro",120
"601",7019,"Fajardo",530
"602",7019,"Fico",37
"603",7019,"Petro",139
"604",7022,"Fajardo",1443
"605",7022,"Fico",180
"606",7022,"Petro",181
"607",7025,"Fajardo",832
"608",7025,"Fico",87
"609",7025,"Petro",261
"610",7028,"Fajardo",376
"611",7028,"Fico",53
"612",7028,"Petro",64
"613",7031,"Fajardo",1670
"614",7031,"Fico",92
"615",7031,"Petro",135
"616",7034,"Fajardo",418
"617",7034,"Fico",62
"618",7034,"Petro",90
"619",7037,"Fajardo",638
"620",7037,"Fico",117
"621",7037,"Petro",164
"622",7040,"Fajardo",771
"623",7040,"Fico",31
"624",7040,"Petro",68
"625",7043,"Fajardo",1224
"626",7043,"Fico",130
"627",7043,"Petro",440
"628",7046,"Fajardo",1249
"629",7046,"Fico",75
"630",7046,"Petro",117
"631",7049,"Fajardo",2494
"632",7049,"Fico",305
"633",7049,"Petro",1070
"634",7052,"Fajardo",727
"635",7052,"Fico",126
"636",7052,"Petro",117
"637",7055,"Fajardo",494
"638",7055,"Fico",119
"639",7055,"Petro",269
"640",7058,"Fajardo",676
"641",7058,"Fico",86
"642",7058,"Petro",62
"643",7059,"Fajardo",1049
"644",7059,"Fico",49
"645",7059,"Petro",478
"646",7060,"Fajardo",639
"647",7060,"Fico",116
"648",7060,"Petro",601
"649",7061,"Fajardo",410
"650",7061,"Fico",63
"651",7061,"Petro",126
"652",7064,"Fajardo",874
"653",7064,"Fico",89
"654",7064,"Petro",118
"655",7067,"Fajardo",9003
"656",7067,"Fico",2167
"657",7067,"Petro",4677
"658",7068,"Fajardo",1111
"659",7068,"Fico",15
"660",7068,"Petro",380
"661",7070,"Fajardo",1202
"662",7070,"Fico",25
"663",7070,"Petro",51
"664",7073,"Fajardo",1689
